imdbID;title;year;runtime;genre;released;imdbRating;imdbVotes;country
7819;Coney Island;1917;25 min;Short, Comedy;1917-10-29;6,4;911;USA
7832;The Cure;1917;24 min;Short, Comedy;1917-04-16;7,3;2055;USA
7880;Easy Street;1917;24 min;Short, Comedy;1917-01-22;7,7;3057;USA
8133;The Immigrant;1917;30 min;Short, Comedy, Drama;1917-06-17;7,8;4680;USA
8329;Mothers of Men;1917;;Drama;1917-11-01;;;USA
8395;Father Sergius;1918;112 min;Biography, Drama, History;;6,5;226;Russia
8443;The Poor Little Rich Girl;1917;65 min;Comedy, Drama, Family;1917-03-05;6,9;884;USA
8523;The Rough House;1917;22 min;Comedy, Short;1917-06-25;5,8;648;USA
8536;Satan Triumphant;1917;87 min;Drama, Horror;1917-10-21;6,7;52;Russia
8550;The Secret Game;1917;67 min;Drama;1917-12-03;6,3;65;USA
8634;Straight Shooting;1917;57 min;Western;1917-08-27;6,1;245;USA
8663;A Man There Was;1917;48 min;Drama;1920-04-25;7,2;802;Sweden
8710;Girl from Stormy Croft;1917;87 min;Drama;1919-03-04;7;74;Sweden
8775;Wild and Woolly;1917;72 min;Comedy, Western, Romance;1917-06-24;6,9;388;USA
8827;Amarilly of Clothes-Line Alley;1918;67 min;Comedy, Romance;1918-03-11;7;613;USA
8874;The Bell Boy;1918;33 min;Short, Comedy;1918-03-18;6,8;651;USA
8879;The Outlaw and His Wife;1918;72 min;Drama;1918-01-01;7;932;Sweden
8891;The Blue Bird;1918;75 min;Fantasy;1918-03-31;6,6;446;USA
8950;Carmen;1918;80 min;Drama;1921-05-08;6,2;148;Germany
8950;Carmen;1918;80 min;Drama;1921-05-08;6,2;153;Germany
9018;A Dog's Life;1918;33 min;Short, Comedy;1918-04-14;7,8;4304;USA
9062;The Merry Jail;1917;48 min;Comedy;1917-11-30;5,9;356;Germany
9369;Mickey;1918;93 min;Comedy, Drama;1918-08-01;7,5;794;USA
9440;Old Wives for New;1918;60 min;Drama;1918-05-19;6,4;122;USA
9611;Shoulder Arms;1918;45 min;Comedy, War;1918-10-20;6,7;3724;USA
9652;Stella Maris;1918;84 min;Drama;1918-01-21;7,7;1048;USA
9796;The Whispering Chorus;1918;86 min;Drama;1918-03-28;6,5;181;USA
9878;Different from the Others;1919;50 min;Drama;1919-05-28;6,7;622;Germany
9893;My Lady Margarine;1919;47 min;Comedy;1919-06-26;6,9;916;Germany
9899;Back Stage;1919;26 min;Short, Comedy;1919-09-07;6,7;660;USA
9932;Billy Blazes, Esq.;1919;12 min;Short, Comedy, Western;1919-07-06;6,2;491;USA
9937;Blind Husbands;1919;99 min;Drama, Romance;1919-10-21;6,7;858;USA
9968;Broken Blossoms or The Yellow Man and the Girl;1919;90 min;Drama, Romance;1919-10-20;7,7;6610;USA
9976;The Busher;1919;55 min;Drama, Sport;1919-05-18;7,1;531;USA
